Key,Domain,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Description,ImagePath,SourceURL
Question_MQ_Parsed_Culture_Normal_0001,Culture,Sports,Normal,This game marks the first appearance of what famous 'Mario' series character?,Yoshi,Toad,Princess Toadstool,Wario,Yoshi,"The catch is that Mario can jump on the flashing ones to collect a feather (and some of these can be found in item boxes as well). Wearing the cape allows Mario to spin attack foes, but more importantly it can give him the power of flight, allowing him to rise into the air-- even with Yoshi-- and flutter with proper technique.",,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0002,Culture,Sports,Normal,"""Super Mario World"" introduces Super Mario's cape.  Which of these items must be collect to use it?",Hat,Feather,Letter M,Mushroom,Feather,,,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0003,Culture,Sports,Normal,Mario will generally encounter Boos of various sizes in which of these types of locations?,Cemeteries,Castles,Hallowed Grounds,Ghost Houses,Ghost Houses,"3""), only instead of facing a mini-boss at the end, Mario will need to survive the Boos inside to locate a normal exit gate, generally located out the back door of the building. On the map, these levels are immediately identifiable as they'll have a Boo floating around outside. Because it's similar to a castle, Mario can not bring Yoshi inside either. Not that it'd matter-- it's hard to eat a ghost!",,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0004,Culture,Sports,Normal,Four Fortresses can be found throughout the game.  What boss waits at the end of each?,Boom Boom,Reznor,Birdo,Mecha-Koopa,Reznor,,,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0005,Culture,Sports,Normal,"Mario faces Koopalings in a castle located in each major world.  There are seven of them, but which is the only one not to have the same battle style as one of their siblings?",Larry Koopa,Roy Koopa,Ludwig Von Koopa,Wendy O. Koopa,Ludwig Von Koopa,,,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0006,Culture,Sports,Normal,"If he can find the way, Mario can find access points to the Star World.  In each of the levels he finds there, he must do which of the following?",Feed a Yoshi,Find a secret exit,Defeat Reznor,Beat a time trial,Find a secret exit,,,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0007,Culture,Sports,Normal,Completion of the Special Zone will transform the world map.  To what season will it change?,Winter,Summer,Spring,Autumn,Autumn,,,https://www.funtrivia.com/quiz/videogames/super-mario-world-416135.html
Question_MQ_Parsed_Culture_Normal_0008,Culture,Humanities,Normal,A trip to Africa is next on our tour.  Here we observe a group of baboons in the wild.  This collective could be called a flange.  By what other term could we also call them?,A whoop,A rumpus,A bloat,A shrewdness,A whoop,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0009,Culture,Humanities,Normal,"On our trip to Africa, we are joined by a group of junior commissioned English Army Officers.  These sub alterns seem like a very pleasant bunch of boys, so we can't quite  understand the seemingly derogatory term for their group.  What is this?",A simplicity,A stupidity,A nursery,A bleating,A simplicity,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0010,Culture,Humanities,Normal,The sub-alterns tell us that one of their favourite sports is ferret racing.  By what term could we denote a group of ferrets?,A company,A business,An army,A firm,A company,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0011,Culture,Humanities,Normal,"Leaving the sub-alterns, and their ferrets behind we travel to South Africa, in search for a collective of diamonds.  After all, they are a girl's best friend.  Unfortunately, we don't find any but we are suprised to find lots of corn fields.  They seem harmless, yet a lot of corn has which eerie collective noun?",A scare,A fright,A shock,An alarm,A scare,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0012,Culture,Humanities,Normal,No trip around the world would be complete for this girl without some retail therapy and where better than Paris?  Haute couture is well out of my price range but the Parisian markets offer a range of both modern and vintage clothing at reasonable prices.  What collective term can any group of merchants go by?,A faith,A charity,A hope,A chastity,A faith,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0013,Culture,Humanities,Normal,"Time to go home.  We head back to Australia to the beautiful beaches of Far North Queensland.  Port Douglas is lovely, but we can't swim outside of the nets due to an infestation of jellyfish in the sea.  These horrible creatures go by which suitably violent name?",A beating,A slap,A smack,An assault,A beating,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0014,Culture,Humanities,Normal,"It's hot in the tropics, so we decide to have a refreshing beverage in one of Port Douglas' many drinking establishments.  We are lucky though, because the bartender tells us that the following week all the pubs will be closed as he and all the other barmen in the area will be attending a conference.  What would we call this collection of barmen?",A patience,A pouring,A promise,A pint,A patience,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0015,Culture,Humanities,Normal,"Finally, it's time to get back to Melbourne and just one stop before we can get some well needed sleep.  In the 1880's the Heidelberg School developed in what was once one of Melbourne's rural outskirts.  Which of the following collective terms does NOT denote a group of painters?",A worship,An illusion,A curse,A misbelieving,A worship,,,https://www.funtrivia.com/quiz/humanities/the-strange-world-of-collective-nouns-255385.html
Question_MQ_Parsed_Culture_Normal_0016,Culture,People,Normal,What is the name of the Disney cartoon that Ashley Tisdale provides a voice for?,The Blonde Girls,Frank and Peter,Phineas and Ferb,Picture This,Phineas and Ferb,"In ""Phineas and Ferb (2007) Ashley's voice is used for Candice, Phineas and Ferb's older sister. Ashley released a cd, ""Headstrong"" on February 6th, 2007. She also plays Maddie Fitzpatrick on ""The Suite Life of Zack and Cody"" (2005).",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0017,Culture,People,Normal,"Who plays Newt Livingston in the Disney TV show, ""Cory in the House"" (2007)?",Cody Linley,Howie Gordon,Chace Crawford,Jason Dolley,Jason Dolley,"He had played Connor in the Disney Channel Original Movie, ""Read it and Weep"", (2006). Many people say Jason Dolley looks like Cody Linley, because of their blonde shaggy hair. The other choices, Chace Crawford, and Howie Gordon are incorrect because Chace Crawford plays Nate Archibald on ""Gossip Girl"" (2007), and Howie Gordon was a contestant on the ABC reality show, ""Big Brother"" seasons six and seven.",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0018,Culture,People,Normal,Which Cheetah Girl is missing - Adrienne Bailon and Sabrina Bryan?,Miley Cyrus,Vanessa Hudgens,Kiely Williams,Ashley Tisdale,Kiely Williams,"Sabrina also appears on ""Dancing With the Stars"" on season 5. The Cheetah Girls also have their own movies, appropriately called ""The Cheetah Girls"" (2003) and ""The Cheetah Girls 2"" (2006).",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0019,Culture,People,Normal,"Who plays Carly on the new Nickelodeon TV show, ""I-Carly"" (2007)?",Victoria Justice,Jeannete McCurdy,Miranda Cosgrove,Jamie Lynn Spears,Miranda Cosgrove,"Miranda has her own show, co-starring Jeannette McCurdy as Carly's best friend Sam, and Nathan Kress as Carly's other friend who is in love with her.",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0020,Culture,People,Normal,How many Pussycat Dolls are there?,Seven,Five,Six,Eight,Seven,"Well, besides ""High School Musical"" (2005), ""High School Musical 2"" (2007), and ""Jump In"" (2007) on Disney Channel, he was also in ""Catch That Kid"" (2004) as Austin, alongside Max Theriot, best known for playing Ned Nickerson in ""Nancy Drew"" (2007), and Seth Plumber in ""The Pacifier"" (2005).",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0021,Culture,People,Normal,"Who sings the song ""Push It To The Limit""?",Lucas Grabeel,Corbin Bleu,Nick Carter,Jesse McCartney,Corbin Bleu,"Well, besides ""High School Musical"" (2005), ""High School Musical 2"" (2007), and ""Jump In"" (2007) on Disney Channel, he was also in ""Catch That Kid"" (2004) as Austin, alongside Max Theriot, best known for playing Ned Nickerson in ""Nancy Drew"" (2007), and Seth Plumber in ""The Pacifier"" (2005).",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0022,Culture,People,Normal,"Which ""High School Musical"" (2005) and ""High School Musical 2"" (2007) star had a part in the movie edition of ""Hairspray"" (2007)?",Vanessa Hudgens as Penny,Zac Efron as Link,Corbin Bleu as Seaweed,,Vanessa Hudgens as Penny,"Corbin Bleu, Ashley Tisdale, and Vanessa Hudgens did, but Lucas Grabeel, Monique Coleman, and Zac did not. Zac told Bop Magzine that he doesn't want to release a CD because ""He doesn't want another Jesse McCartney in the world."" He says that isn't a diss to Jesse, but he just doesn't want to be like him.",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0023,Culture,People,Normal,"Which ex-Zoey 101 castmate appeared in ""The Suite Life of Zack and Cody"" (2005)?",Kristen Herrera,Alexa Nikolas,Tara-Lynne Barr,Jeannette McCurdy,Alexa Nikolas,"On ""Zoey 101"" (2006) she played Nicole Bristow, boy crazed PCA student. She also is in Vanessa Hudgens' music video for ""Come Back to Me."" Alexa was also in ""Motocrossed Kids"" (2004) and played Katie.",,https://www.funtrivia.com/quiz/celebrities/a-mixture-of-stars-3-271853.html
Question_MQ_Parsed_Culture_Normal_0024,Culture,Entertainment,Normal,"What satellite radio service is named after the ""Dog Star""?",XM,Betelgeuse,NPR,Sirius,XM,,,https://www.funtrivia.com/quiz/entertainment/funtrivia-entertainment-mix-vol-22-419918.html
